Timestamp,Emotion
2025-05-10 20:50:14,neutral
2025-05-10 20:50:14,neutral
2025-05-10 20:50:14,fear
2025-05-10 20:50:14,fear
2025-05-10 20:50:14,fear
2025-05-10 20:50:14,sad
2025-05-10 20:50:14,neutral
2025-05-10 20:50:15,sad
2025-05-10 20:50:15,fear
2025-05-10 20:50:15,fear
2025-05-10 20:50:15,fear
2025-05-10 20:50:15,fear
2025-05-10 20:50:15,fear
2025-05-10 20:50:15,fear
2025-05-10 20:50:15,sad
2025-05-10 20:50:16,fear
2025-05-10 20:50:16,happy
2025-05-10 20:50:16,surprise
2025-05-10 20:50:16,surprise
2025-05-10 20:50:16,surprise
2025-05-10 20:50:16,angry
2025-05-10 20:50:16,fear
2025-05-10 20:50:17,fear
2025-05-10 20:50:17,angry
2025-05-10 20:50:17,happy
2025-05-10 20:50:17,happy
2025-05-10 20:50:17,happy
2025-05-10 20:50:17,sad
2025-05-10 20:50:17,sad
2025-05-10 20:50:18,surprise
2025-05-10 20:50:18,surprise
2025-05-10 20:50:18,surprise
2025-05-10 20:50:18,angry
2025-05-10 20:50:18,surprise
2025-05-10 20:50:19,surprise
2025-05-10 20:50:19,neutral
2025-05-10 20:50:19,surprise
2025-05-10 20:50:19,neutral
2025-05-10 20:50:19,neutral
2025-05-10 20:50:19,neutral
2025-05-10 20:50:20,surprise
2025-05-10 20:50:20,fear
2025-05-10 20:50:20,fear
2025-05-10 20:50:20,fear
2025-05-10 20:50:20,fear
2025-05-10 20:50:21,fear
2025-05-10 20:50:21,fear
2025-05-10 20:50:21,fear
2025-05-10 20:50:21,surprise
2025-05-10 20:50:21,happy
2025-05-10 20:50:21,happy
2025-05-10 20:50:22,happy
2025-05-10 20:50:22,happy
2025-05-10 20:50:22,happy
2025-05-10 20:50:22,fear
2025-05-10 20:50:22,surprise
2025-05-10 20:50:22,surprise
2025-05-10 20:50:22,angry
2025-05-10 20:50:23,fear
2025-05-10 20:50:23,neutral
2025-05-10 20:50:23,happy
2025-05-10 20:50:23,happy
2025-05-10 20:50:23,fear
2025-05-10 20:50:23,happy
2025-05-10 20:50:23,happy
2025-05-10 20:50:24,happy
2025-05-10 20:50:24,happy
2025-05-10 20:50:24,fear
2025-05-10 20:50:24,angry
2025-05-10 20:50:24,happy
2025-05-10 20:50:24,happy
2025-05-10 20:50:24,happy
2025-05-10 20:50:25,angry
2025-05-10 20:50:25,happy
2025-05-10 20:50:25,angry
2025-05-10 20:50:25,happy
2025-05-10 20:50:25,neutral
2025-05-10 20:50:25,happy
2025-05-10 20:50:25,neutral
2025-05-10 20:50:25,happy
2025-05-10 20:50:26,happy
2025-05-10 20:50:26,happy
2025-05-10 20:50:26,happy
2025-05-10 20:50:26,neutral
2025-05-10 20:50:26,neutral
2025-05-10 20:50:26,happy
2025-05-10 20:50:26,happy
2025-05-10 20:50:27,neutral
2025-05-10 20:50:27,happy
